Ref,Val,Package,PosX,PosY,Rot,Side
"B1","JS_2_Battery","JST_RA_SMT",54.000400,29.718000,90.000000,bottom
"C1","0.1uF","C_0603",51.054000,48.196500,-90.000000,bottom
"C2","0.1uF","C_0603",51.054000,45.275500,90.000000,bottom
"C3","0.1uF","C_0603",41.097200,48.133000,-90.000000,bottom
"C4","0.1uF","C_0603",41.122600,45.212000,90.000000,bottom
"C5","0.1uF","C_0603",31.470600,48.158400,-90.000000,bottom
"C6","0.1uF","C_0603",31.521400,45.212000,90.000000,bottom
"C7","0.1uF","C_0603",21.767800,48.158400,-90.000000,bottom
"C8","0.1uF","C_0603",21.742400,45.224700,90.000000,bottom
"C9","3.3uF","C_0603",51.816000,40.386000,0.000000,bottom
"C10","1uF","C_0603",45.212000,45.974000,180.000000,bottom
"C11","1uF","C_0603",35.179000,45.974000,0.000000,bottom
"C12","1uF","C_0603",25.527000,45.847000,0.000000,bottom
"C13","1uF","C_0603",15.773400,45.923200,0.000000,bottom
"C16","0.1uF","C_0603",33.997900,26.657300,-90.000000,bottom
"C17","1uF","C_0603",35.547300,26.657300,-90.000000,bottom
"C18","10uF","C_0603",28.321000,3.149600,-90.000000,bottom
"C19","1uF","C_0603",40.233600,12.319000,-90.000000,bottom
"C20","0.1uF","C_0603",29.819600,3.149600,-90.000000,bottom
"C23","1uF","C_0603",23.850600,3.505200,0.000000,bottom
"C30","1uF","C_0603",47.955200,25.171400,90.000000,bottom
"C31","0.1uF","C_0603",46.418500,25.196800,90.000000,bottom
"C32","0.1uF","C_0603",38.227000,26.619200,90.000000,bottom
"C33","1uF","C_0603",39.725600,26.619200,90.000000,bottom
"C34","10uF","C_0603",41.211500,26.619200,90.000000,bottom
"C35","100uF","C_1210",22.758400,20.193000,135.000000,bottom
"C36","0.01uF","C_0603",34.368418,16.725536,0.000000,bottom
"C37","3.3uF","C_0603",33.147000,40.259000,0.000000,bottom
"C39","3.3uF","C_0603",42.880552,40.282658,0.000000,bottom
"C40","1uF","C_0603",4.902200,32.207200,180.000000,bottom
"C41","10uF","C_0603",44.678600,19.291300,180.000000,bottom
"C42","1uF","C_0603",44.678600,20.789900,180.000000,bottom
"C44","3.3uF","C_0603",23.495000,40.132000,0.000000,bottom
"D1","D_Schottky","C_0603",57.505600,25.552400,180.000000,bottom
"R1","1M","C_0603",51.816000,41.910000,0.000000,bottom
"R2","330K","R_0603",38.023800,58.140600,90.000000,bottom
"R3","330K","R_0603",36.398200,58.140600,90.000000,bottom
"R4","330K","R_0603",33.223200,58.140600,90.000000,bottom
"R5","330K","R_0603",34.772600,58.140600,90.000000,bottom
"R6","330K","R_0603",30.099000,58.140600,90.000000,bottom
"R7","330K","R_0603",31.673800,58.140600,90.000000,bottom
"R8","330K","R_0603",26.974800,58.140600,90.000000,bottom
"R9","330K","R_0603",28.524200,58.140600,90.000000,bottom
"R10","1M","C_0603",35.400000,37.975000,-90.000000,bottom
"R11","330K","R_0603",25.425400,58.140600,-90.000000,bottom
"R12","1M","C_0603",48.641000,39.243000,0.000000,bottom
"R13","1M","C_0603",30.607000,39.370000,-90.000000,bottom
"R14","1M","C_0603",45.212000,38.608000,-90.000000,bottom
"R15","100K","R_0603",46.863000,42.672000,180.000000,bottom
"R16","2K","R_0603",48.387000,41.021000,0.000000,bottom
"R17","100K","R_0603",36.576000,42.672000,180.000000,bottom
"R18","2K","R_0603",38.100000,41.021000,0.000000,bottom
"R19","100K","R_0603",27.178000,42.672000,180.000000,bottom
"R20","2K","R_0603",28.575000,41.021000,180.000000,bottom
"R21","100K","R_0603",17.399000,42.545000,180.000000,bottom
"R22","2K","R_0603",19.494500,41.211500,90.000000,bottom
"R23","1K","R_0603",45.293132,44.553113,0.000000,bottom
"R24","1K","R_0603",35.242500,44.386500,0.000000,bottom
"R25","1K","R_0603",25.730200,44.323000,0.000000,bottom
"R26","1K","R_0603",15.963900,44.272200,0.000000,bottom
"R29","1M","C_0603",25.908000,38.417500,-90.000000,bottom
"R30","1M","C_0603",40.340551,39.520658,-90.000000,bottom
"R31","1M","C_0603",21.145500,39.243000,-90.000000,bottom
"R34","500K","C_0603",48.641000,37.719000,0.000000,bottom
"R35","500K","C_0603",31.242000,35.814000,0.000000,bottom
"R36","500K","C_0603",39.675000,36.700000,0.000000,bottom
"R38","10K","R_0603",49.834800,20.523200,180.000000,bottom
"R44","100K","R_0603",7.162800,31.407100,-90.000000,bottom
"R45","100K","R_0603",4.864100,30.632400,180.000000,bottom
"R46","100K","R_0603",35.828922,19.506835,90.000000,bottom
"R48","500K","C_0603",23.925000,35.675000,180.000000,bottom
"SW5","SPDT","SSSS810701_SSSS810701",57.404000,32.613600,180.000000,bottom
"U1","MCP6V31U","SC-70-5",51.689000,38.354000,90.000000,bottom
"U2","AD8237","MSOP-8_3x3mm_Pitch0.65mm",48.468132,46.712115,-90.000000,bottom
"U3","AD8237","MSOP-8_3x3mm_Pitch0.65mm",38.481000,46.736000,-90.000000,bottom
"U4","AD8237","MSOP-8_3x3mm_Pitch0.65mm",28.854400,46.736000,-90.000000,bottom
"U5","AD8237","MSOP-8_3x3mm_Pitch0.65mm",19.138900,46.685200,-90.000000,bottom
"U8","rfd_77101","RFD77101",34.798000,5.969000,0.000000,bottom
"U11","NCP551","SOT-23-5",43.802300,25.044400,180.000000,bottom
"U12","AD5621","SC-70-6",8.839200,27.203400,0.000000,bottom
"U13","SEEED_microSD","ST-TF-0003A",11.684000,11.430000,135.000000,bottom
"U15","MCP6001","SC-70-5",4.826000,28.016200,0.000000,bottom
"U16","SN74LVC1G32","SC-70-5",40.525700,17.195800,90.000000,bottom
"U17","LIS2DE12","LIS2DH12",43.040300,16.459200,0.000000,bottom
"U23","74LVC2G00","VSSOP-8",33.098420,20.865737,0.000000,bottom
"U24","MCP6V31U","SC-70-5",33.020000,37.846000,90.000000,bottom
"U26","MCP6V31U","SC-70-5",42.880552,37.869659,90.000000,bottom
"U27","MCP6V31U","SC-70-5",23.495000,37.719000,90.000000,bottom
